Source,Target,Date,Location,Weight,Latitude,Longitude,Coordinates
Zotero,Python,1/1/2010 0:00:00,"London, England, United Kingdom",4,51.5072178,-0.1275862,"51.5072178, -0.1275862"
Zotero,Python,1/1/2011 0:00:00,"Stanford, California, United States",5,37.424106,-122.1660756,"37.4241059999999, -122.1660756"
Zotero,Python,1/1/2012 0:00:00,"Hamburg, Germany",4,53.5488282,9.9871703,"53.5488282, 9.98717029999999"
Zotero,Python,1/1/2013 0:00:00,"Lincoln, Nebraska, United States",13,40.813616,-96.7025955,"40.813616, -96.7025955"
Zotero,Python,1/1/2014 0:00:00,"Lausanne, Switzerland",10,46.5196535,6.6322734,"46.5196535, 6.6322734"
Zotero,Python,1/1/2015 0:00:00,"Sydney, Australia",13,-33.8688197,151.2092955,"-33.8688197, 151.2092955"
Zotero,Python,1/1/2016 0:00:00,"Kraków, Poland",15,50.0646501,19.9449799,"50.0646500999999, 19.9449799"
Zotero,Python,1/1/2017 0:00:00,"Montréal, Canada",27,45.5018869,-73.5673919,"45.5018869, -73.5673918999999"
Zotero,Python,1/1/2018 0:00:00,"Mexico City, Mexico",21,19.4326077,-99.133208,"19.4326077, -99.133208"
Zotero,Python,1/1/2019 0:00:00,"Utrecht, Netherlands",11,52.0907374,5.1214201,"52.0907373999999, 5.1214201"
Zotero,Python,1/1/2022 0:00:00,"Tokyo, Japan",37,35.6764225,139.650027,"35.6764225, 139.650027"
Zotero,Scalar,1/1/2012 0:00:00,"Hamburg, Germany",12,53.5488282,9.9871703,"53.5488282, 9.98717029999999"
Zotero,Scalar,1/1/2013 0:00:00,"Lincoln, Nebraska, United States",8,40.813616,-96.7025955,"40.813616, -96.7025955"
Zotero,Scalar,1/1/2014 0:00:00,"Lausanne, Switzerland",9,46.5196535,6.6322734,"46.5196535, 6.6322734"
Zotero,Scalar,1/1/2015 0:00:00,"Sydney, Australia",5,-33.8688197,151.2092955,"-33.8688197, 151.2092955"
Zotero,Scalar,1/1/2016 0:00:00,"Kraków, Poland",7,50.0646501,19.9449799,"50.0646500999999, 19.9449799"
Zotero,Scalar,1/1/2017 0:00:00,"Montréal, Canada",12,45.5018869,-73.5673919,"45.5018869, -73.5673918999999"
Zotero,Scalar,1/1/2018 0:00:00,"Mexico City, Mexico",5,19.4326077,-99.133208,"19.4326077, -99.133208"
Zotero,Scalar,1/1/2019 0:00:00,"Utrecht, Netherlands",4,52.0907374,5.1214201,"52.0907373999999, 5.1214201"
Zotero,Scalar,1/1/2022 0:00:00,"Tokyo, Japan",7,35.6764225,139.650027,"35.6764225, 139.650027"
Zotero,StoryMapJS,1/1/2018 0:00:00,"Mexico City, Mexico",3,19.4326077,-99.133208,"19.4326077, -99.133208"
Zotero,TEI,1/1/2007 0:00:00,"Urbana-Champaign, Illinois, United States",115,40.1105875,-88.2072697,"40.1105875, -88.2072697"
Zotero,TEI,1/1/2008 0:00:00,"Oulu, Finland",162,65.0120888,25.4650773,"65.0120888, 25.4650773"
Zotero,TEI,1/1/2009 0:00:00,"College Park, Maryland, United States",182,38.9896967,-76.93776,"38.9896967, -76.93776"
Zotero,TEI,1/1/2010 0:00:00,"London, England, United Kingdom",141,51.5072178,-0.1275862,"51.5072178, -0.1275862"
Zotero,TEI,1/1/2011 0:00:00,"Stanford, California, United States",93,37.424106,-122.1660756,"37.4241059999999, -122.1660756"
Zotero,TEI,1/1/2012 0:00:00,"Hamburg, Germany",151,53.5488282,9.9871703,"53.5488282, 9.98717029999999"
Zotero,TEI,1/1/2013 0:00:00,"Lincoln, Nebraska, United States",169,40.813616,-96.7025955,"40.813616, -96.7025955"
Zotero,TEI,1/1/2014 0:00:00,"Lausanne, Switzerland",121,46.5196535,6.6322734,"46.5196535, 6.6322734"
Zotero,TEI,1/1/2015 0:00:00,"Sydney, Australia",273,-33.8688197,151.2092955,"-33.8688197, 151.2092955"
Zotero,TEI,1/1/2016 0:00:00,"Kraków, Poland",157,50.0646501,19.9449799,"50.0646500999999, 19.9449799"
Zotero,TEI,1/1/2017 0:00:00,"Montréal, Canada",130,45.5018869,-73.5673919,"45.5018869, -73.5673918999999"
